42	George Hill	UTA	30	23	17	6	31.5	18.0	6.3	13.0	48.3	2.0	4.7	41.7	3.5	4.3	80.0	0.5	3.1	3.7	4.1	1.6	1.0	0.3	2.5	0	0	7.7
43	Paul Millsap	ATL	31	43	27	16	34.0	18.0	6.4	14.4	44.4	1.2	3.6	33.5	3.9	5.2	75.0	1.7	6.4	8.1	3.8	2.3	1.5	1.0	2.6	12	0	3.9
44	Lou Williams	LAL	30	48	16	32	24.3	17.9	5.5	12.6	43.2	1.9	5.2	37.2	5.1	5.8	87.1	0.2	2.0	2.2	3.0	2.1	1.1	0.2	1.1	0	0	0.5
45	Avery Bradley	BOS	26	36	22	14	34.9	17.7	7.1	15.0	47.5	2.1	5.2	40.9	1.3	1.8	76.2	1.1	5.8	6.9	2.4	1.8	1.3	0.2	2.7	9	0	0.0
46	Dennis Schroder	ATL	23	46	27	19	30.6	17.6	6.8	14.5	46.9	1.3	3.5	37.3	2.7	3.3	83.3	0.5	2.4	2.9	6.3	3.0	0.8	0.2	1.8	6	0	-0.8
47	LaMarcus Aldridge	SAS	31	41	33	8	32.3	17.6	7.0	13.9	50.2	0.4	0.8	48.4	3.3	4.0	82.3	2.2	4.9	7.1	2.3	1.3	0.6	1.0	2.3	8	0	5.0
48	Chris Paul	LAC	31	36	27	9	30.9	17.5	5.8	12.3	47.1	1.9	4.9	39.5	3.9	4.5	87.6	0.7	4.6	5.3	9.7	2.4	2.3	0.1	2.4	16	1	10.0
49	Eric Gordon	HOU	28	46	33	13	30.6	17.4	6.0	14.2	42.1	3.6	9.2	39.2	1.8	2.2	85.0	0.3	2.4	2.7	2.8	1.8	0.6	0.5	2.0	0	0	4.9
50	Evan Fournier	ORL	24	36	14	22	33.0	17.0	6.1	13.7	44.3	1.7	4.8	35.8	3.2	3.8	82.6	0.6	2.5	3.1	3.3	2.1	1.0	0.1	2.7	0	0	-2.5
51	Reggie Jackson	DET	26	25	10	15	29.3	16.9	6.3	14.5	43.5	1.5	4.0	38.0	2.7	3.2	86.1	0.5	1.8	2.4	5.6	2.7	0.7	0.1	3.0	4	0	-3.6
52	Hassan Whiteside	MIA	27	42	15	27	33.3	16.9	7.1	13.0	54.8	0.0	0.0	0.0	2.7	4.8	55.2	3.7	10.2	13.9	0.7	2.0	0.8	2.0	3.1	29	0	-2.3
53	Danilo Gallinari	DEN	28	40	18	22	34.1	16.8	4.9	11.4	42.9	1.9	4.8	39.1	5.1	5.7	89.0	0.5	4.4	4.9	2.3	1.4	0.7	0.3	1.6	2	0	0.6
54	Tobias Harris	DET	24	46	21	25	32.9	16.7	6.5	13.4	48.4	1.4	4.2	34.6	2.3	2.6	89.0	0.5	4.6	5.2	1.8	1.3	0.7	0.5	1.7	3	0	-1.4
55	Victor Oladipo	OKC	24	37	22	15	33.8	16.2	6.3	13.8	45.6	2.1	5.6	37.8	1.5	2.1	68.4	0.6	3.6	4.2	2.6	1.6	1.1	0.3	2.2	1	0	2.8
56	Wilson Chandler	DEN	29	40	18	22	30.4	15.9	6.2	13.7	45.6	1.5	4.5	34.3	1.9	2.6	72.8	1.5	5.3	6.8	1.9	1.6	0.7	0.4	2.3	5	0	-1.7
57	Myles Turner	IND	20	43	22	21	30.1	15.7	5.9	11.1	53.2	0.7	1.6	40.6	3.2	4.0	80.7	1.5	6.0	7.6	1.0	1.4	0.7	2.3	3.3	9	0	1.4
58	JJ Redick	LAC	32	44	29	15	28.1	15.7	5.4	12.0	45.2	2.7	6.1	43.7	2.2	2.5	86.5	0.2	1.9	2.1	1.3	1.3	0.7	0.1	1.6	0	0	6.6
59	Jeff Teague	IND	28	44	22	22	32.2	15.5	5.0	11.3	44.7	0.9	2.8	32.8	4.5	5.3	84.7	0.5	3.6	4.1	8.0	2.9	1.5	0.5	2.3	9	0	-0.8
