46	Chris Paul	LAC	31	31	22	9	31.5	17.7	5.9	12.7	46.3	2.0	5.1	39.9	3.9	4.5	87.7	0.7	4.5	5.3	9.5	2.3	2.2	0.2	2.5	13	1	9.2
47	Eric Gordon	HOU	28	36	27	9	30.6	17.7	6.0	13.8	43.5	3.8	8.8	42.8	1.9	2.3	83.3	0.3	2.3	2.6	2.9	1.9	0.7	0.6	2.1	0	0	4.2
48	Derrick Rose	NYK	28	30	15	15	32.1	17.7	7.0	15.7	44.8	0.4	1.5	25.0	3.2	3.8	85.1	1.3	2.8	4.1	4.4	2.4	0.7	0.4	1.5	1	0	-0.6
49	LaMarcus Aldridge	SAS	31	32	25	7	32.3	17.5	6.9	13.8	50.2	0.4	0.8	48.0	3.3	4.0	82.7	2.2	5.1	7.3	2.1	1.5	0.7	1.0	2.3	6	0	5.4
50	Dennis Schroder	ATL	23	34	18	16	31.1	17.5	6.8	14.6	46.3	1.3	3.6	35.5	2.7	3.3	81.3	0.5	2.4	2.9	6.3	3.1	0.8	0.2	1.7	5	0	-2.3
51	Hassan Whiteside	MIA	27	34	10	24	33.9	17.3	7.3	13.3	54.6	0.0	0.0	0.0	2.8	5.1	54.0	4.0	10.4	14.3	0.7	2.0	0.8	2.2	3.2	24	0	-2.4
52	Danilo Gallinari	DEN	28	32	13	19	34.2	17.2	4.9	11.3	43.0	1.9	5.0	38.4	5.5	6.3	88.5	0.6	4.4	5.0	2.2	1.5	0.7	0.3	1.7	2	0	-0.8
53	Tobias Harris	DET	24	37	16	21	32.6	16.4	6.3	13.1	47.9	1.4	3.8	35.5	2.4	2.7	90.9	0.5	4.7	5.2	1.8	1.4	0.6	0.6	1.6	3	0	-1.3
54	Wilson Chandler	DEN	29	32	13	19	31.4	16.2	6.3	14.2	44.4	1.6	4.7	34.0	1.9	2.7	72.1	1.5	5.4	6.9	2.0	1.6	0.8	0.2	2.3	5	0	-2.4
55	Victor Oladipo	OKC	24	26	16	10	34.1	16.1	6.3	13.7	45.9	2.2	5.6	39.0	1.4	2.1	65.5	0.5	4.0	4.5	2.8	1.8	0.9	0.3	2.0	1	0	4.2
56	Wesley Matthews	DAL	30	34	11	23	35.7	15.7	5.2	13.3	39.3	3.0	7.8	38.3	2.3	2.9	79.6	0.2	2.8	3.1	2.1	1.4	1.4	0.2	2.1	0	0	-4.3
57	Serge Ibaka	ORL	27	36	16	20	30.4	15.7	6.4	12.8	49.7	1.5	3.7	39.6	1.5	1.8	81.5	1.8	5.1	6.8	1.1	1.1	0.5	1.8	2.5	3	0	-1.9
58	Reggie Jackson	DET	26	16	5	11	28.0	15.6	5.8	13.5	42.6	1.4	4.1	35.4	2.7	3.1	87.8	0.4	2.0	2.4	5.6	2.6	0.8	0.1	2.9	2	0	-3.4
59	Myles Turner	IND	20	35	18	17	29.8	15.6	5.8	10.8	53.6	0.6	1.5	40.7	3.3	4.2	80.1	1.5	5.8	7.3	1.0	1.4	0.7	2.4	3.2	5	0	1.3
60	Al Horford	BOS	30	25	16	9	32.8	15.5	6.2	13.2	46.7	1.4	4.3	32.7	1.8	2.1	84.9	1.3	5.2	6.5	4.9	1.7	0.7	2.0	2.2	3	0	3.6
61	Jeff Teague	IND	28	36	18	18	32.1	15.4	5.0	11.7	42.7	0.9	2.9	29.5	4.5	5.4	84.0	0.5	3.4	3.9	7.7	2.6	1.7	0.5	2.3	6	0	-1.1
62	Sean Kilpatrick	BKN	26	33	8	25	27.7	15.3	5.0	11.5	43.0	1.6	4.6	35.5	3.7	4.5	83.7	0.4	3.9	4.3	2.6	2.6	0.8	0.1	2.1	2	0	-4.1
63	D'Angelo Russell	LAL	20	25	10	15	26.9	15.2	5.3	13.3	40.1	2.4	6.3	38.9	2.2	2.7	79.4	0.5	2.9	3.4	4.6	2.8	1.1	0.3	2.1	0	0	-1.3
64	JJ Redick	LAC	32	34	22	12	26.9	15.1	5.2	11.3	46.4	2.5	5.7	44.1	2.1	2.4	88.8	0.1	1.7	1.9	1.0	1.4	0.7	0.1	1.5	0	0	7.0
65	Nicolas Batum	CHA	28	34	18	16	34.8	14.9	5.0	12.4	40.4	1.7	5.1	33.7	3.1	3.7	82.5	0.7	6.9	7.6	5.9	2.4	1.2	0.4	1.6	10	1	3.2
66	Nick Young	LAL	31	31	12	19	26.3	14.8	5.1	10.7	47.7	3.1	6.9	44.9	1.5	1.8	85.5	0.4	1.8	2.2	1.1	0.6	0.6	0.4	2.5	0	0	-2.6
67	Kentavious Caldwell-Pope	DET	23	36	16	20	33.8	14.6	5.3	12.5	42.2	2.1	5.5	38.7	1.9	2.3	83.3	0.9	2.6	3.5	3.1	1.2	1.3	0.2	1.8	1	0	1.1
68	J.J. Barea	DAL	32	11	3	8	29.1	14.5	5.2	12.6	41.0	1.7	4.6	37.3	2.5	2.5	96.4	0.4	2.8	3.2	5.2	1.7	0.7	0.1	0.7	0	0	-1.2
69	TJ Warren	PHX	23	23	7	16	29.4	14.5	5.9	13.3	44.3	0.6	1.9	29.5	2.1	2.7	77.8	1.9	2.1	4.0	0.9	1.0	1.4	0.4	2.5	0	0	-2.9
